lr,mse
0.005,0.008629672
0.01,0.019757008
0.015,0.013396275
0.02,0.023790404
0.025,0.004961869
0.03,0.039977083
0.035,0.008694192
0.04,0.020685859
0.045,0.008458333
0.05,0.006480682
0.055,0.002648864
0.06,0.009291919
0.065,0.005631629
0.07,0.005363409
0.075,0.004752898
0.08,0.005704773
0.085,0.004118068
0.09,0.006050789
0.095,0.005512626
