N,mse
25,0.001729293
36,0.003725527
49,0.000908712
64,0.000468553
81,0.000703576
100,0.00030404
121,0.001325322
144,0.000515865
169,0.000321835
196,0.000958933
225,0.000140466
256,0.000523577
289,0.00022652
324,0.000135192
361,0.000127967
400,3.99E-05
