lr,mse
0.005,0.004376957
0.01,0.002053346
0.015,0.004399116
0.02,0.008614205
0.025,0.004175253
0.03,0.002225126
0.035,0.005623043
0.04,0.003771086
0.045,0.000775126
0.05,0.00355404
0.055,0.003772159
0.06,0.007440341
0.065,0.004457891
0.07,0.002717045
0.075,0.002385164
0.08,0.002666162
0.085,0.002178472
0.09,0.001869318
0.095,0.002295328
