N,MSE
25,5.26E-04
36,0.0026
49,5.26E-04
64,0.00191
81,0.00184
100,0.00107
121,0.0013
144,0.00611
169,0.01384
196,0.023
225,0.02152
256,0.02381
289,0.00836
324,0.0089
361,0.00795
400,0.00807
