Fc_real,Fc_pre
0.1,0.285
0.33,0.555
0.3775,0.5175
0.4475,0.5
0.5225,0.6
0.48,0.635
0.4775,0.5375
0.495,0.6125
0.4725,0.4725
0.51,0.5425
0.5275,0.5075
0.575,0.575
0.555,0.4675
0.5975,0.585
0.5525,0.5575
0.5325,0.5875
0.505,0.555
0.555,0.5175
0.5325,0.5525
0.57,0.5625
0.58,0.535
0.5725,0.5525
0.5475,0.49
0.5525,0.5775
0.5275,0.455
0.5725,0.595
0.5325,0.5125
0.5525,0.5625
0.565,0.65
0.535,0.4525
0.5675,0.6175
0.5225,0.4375
0.565,0.5925
0.555,0.56
0.545,0.5825
0.4825,0.465
0.5375,0.6
0.5225,0.4625
0.58,0.6525
0.54,0.6075
0.48,0.47
0.4925,0.5325
0.5075,0.5
0.5175,0.5225
0.5575,0.5475
0.6,0.6
0.5325,0.4975
0.58,0.5575
0.5925,0.6475
0.53,0.4975
0.5625,0.54
0.52,0.535
0.5525,0.505
0.57,0.5575
0.5475,0.5125
0.57,0.56
0.5225,0.485
0.5825,0.5775
0.5425,0.5325
0.5575,0.48
0.575,0.5825
0.5575,0.5425
0.565,0.4775
0.595,0.5625
0.58,0.49
0.6175,0.6
0.5625,0.5825
0.61,0.5425
0.58,0.54
0.6075,0.63
0.5925,0.54
0.5325,0.5425
0.5275,0.5675
0.545,0.56
0.525,0.535
0.52,0.5475
0.5125,0.505
0.515,0.5475
0.5125,0.43
0.605,0.5775
0.5875,0.6
0.525,0.4475
0.52,0.4925
0.5725,0.53
0.55,0.575
0.55,0.555
0.545,0.5925
0.5125,0.515
0.565,0.55
0.6,0.61
0.555,0.525
0.495,0.465
0.535,0.5625
0.5175,0.5275
0.5525,0.585
0.54,0.575
0.4875,0.4625
0.5375,0.5325
0.555,0.5325
