Fc_real,Fc_pre
0.1,0.0075
0.705,0.5325
0.785,0.8125
0.7625,0.7425
0.7575,0.735
0.77,0.8
0.765,0.79
0.75,0.68
0.7725,0.7625
0.78,0.83
0.795,0.8325
0.765,0.7725
0.78,0.8175
0.74,0.6875
0.8,0.8825
0.775,0.77
0.76,0.755
0.7875,0.7825
0.75,0.7075
0.755,0.74
0.78,0.835
0.7475,0.6725
0.7525,0.71
0.8,0.8325
0.7475,0.655
0.775,0.815
0.765,0.785
0.7625,0.7225
0.79,0.8425
0.7475,0.7175
0.76,0.745
0.7625,0.7225
0.7825,0.84
0.7375,0.6725
0.76,0.725
0.7425,0.65
0.765,0.76
0.785,0.8325
0.7475,0.7025
0.78,0.8175
0.74,0.6675
0.74,0.685
0.7475,0.685
0.7825,0.79
0.7475,0.705
0.765,0.765
0.735,0.65
0.8075,0.8575
0.7625,0.7575
0.7725,0.7875
0.745,0.6725
0.7575,0.73
0.7925,0.81
0.75,0.7075
0.745,0.6925
0.735,0.6425
0.795,0.8475
0.725,0.6325
0.785,0.82
0.7425,0.635
0.745,0.625
0.7825,0.835
0.7475,0.705
0.72,0.57
0.79,0.8625
0.745,0.67
0.76,0.73
0.7875,0.8225
0.77,0.7675
0.7675,0.7325
0.765,0.7525
0.8,0.8375
0.76,0.7475
0.79,0.82
0.7725,0.7675
0.8,0.8675
0.7525,0.7175
0.7775,0.79
0.7525,0.73
0.7375,0.655
0.78,0.8
0.765,0.74
0.7525,0.735
0.7775,0.7975
0.74,0.65
0.78,0.7975
0.74,0.7125
0.7675,0.7675
0.7825,0.855
0.7675,0.7575
0.775,0.8025
0.75,0.73
0.7675,0.73
0.7575,0.75
0.7525,0.7
0.7725,0.7625
0.7725,0.775
0.7725,0.775
0.7675,0.78
