Fc_real,Fc_pre
0.51,0.51
0.4625,0.44999999999999996
0.5325,0.55
0.5225,0.5475
0.5175000000000001,0.515
0.5075000000000001,0.49750000000000005
0.5549999999999999,0.5875
0.5700000000000001,0.6
0.565,0.5825
0.5525,0.5825
0.5700000000000001,0.5900000000000001
0.595,0.65
0.5575,0.5725
0.5725,0.6174999999999999
0.5725,0.62
0.6025,0.665
0.645,0.7275
0.645,0.7150000000000001
0.6775,0.7875
0.6799999999999999,0.795
0.655,0.77
0.645,0.7725
0.6725,0.78
0.6575,0.785
0.7275,0.8825000000000001
0.7050000000000001,0.8200000000000001
0.72,0.8625
0.7424999999999999,0.88
0.7825,0.92
0.79,0.9125
0.845,0.965
0.8525,0.965
0.88,0.98
0.885,0.99
0.8975,0.9925
0.8975,0.995
0.905,0.9975
0.92,0.995
0.9275,0.9975
0.94,0.9975
0.9525,0.9975
0.945,0.995
0.955,0.9975
0.9625,0.995
0.9625,0.995
0.96,0.995
0.97,0.995
0.97,0.995
0.97,0.995
0.965,0.995
0.9825,0.99
0.98,0.99
0.9825,0.99
0.99,0.9975
0.995,0.9975
0.995,1.0
0.9975,0.9975
0.995,0.9975
0.995,0.9975
0.995,0.9975
0.995,0.9975
1.0,0.9975
1.0,1.0
1.0,0.9975
1.0,0.9975
1.0,0.9975
1.0,0.9975
1.0,0.9975
1.0,0.9975
1.0,0.9975
1.0,0.9975
1.0,0.9975
1.0,0.9975
1.0,1.0
1.0,0.9975
1.0,0.9975
1.0,0.9975
1.0,0.9975
1.0,1.0
1.0,0.9975
1.0,0.9975
1.0,0.9975
1.0,0.9975
1.0,1.0
1.0,1.0
1.0,0.9975
1.0,0.9975
1.0,0.9975
1.0,0.9975
1.0,0.9975
1.0,0.9975
1.0,0.9975
1.0,0.9975
1.0,0.9975
1.0,0.9975
1.0,0.9975
1.0,0.9975
1.0,1.0
1.0,0.9975
