Fc_real,Fc_pre
0.1,0.04
0.5575,0.44
0.69,0.6275
0.7275,0.73
0.645,0.5475
0.71,0.71
0.7175,0.715
0.665,0.58
0.6875,0.6275
0.745,0.6675
0.7025,0.705
0.685,0.565
0.72,0.7275
0.705,0.68
0.695,0.62
0.7275,0.7225
0.695,0.6125
0.7075,0.695
0.7475,0.695
0.74,0.7425
0.7025,0.6675
0.675,0.545
0.71,0.685
0.6675,0.66
0.7125,0.6375
0.7075,0.6425
0.7375,0.7025
0.7225,0.725
0.6875,0.6
0.72,0.6975
0.665,0.59
0.735,0.7175
0.7225,0.675
0.68,0.6525
0.735,0.73
0.6775,0.635
0.7075,0.6675
0.6825,0.62
0.7075,0.7125
0.7025,0.67
0.69,0.6475
0.6975,0.67
0.7,0.655
0.7075,0.6975
0.6775,0.6425
0.6625,0.6125
0.695,0.63
0.68,0.6575
0.6475,0.53
0.7125,0.7125
0.7,0.5775
0.7475,0.7625
0.7075,0.655
0.715,0.645
0.77,0.815
0.6875,0.6175
0.7275,0.7025
0.7175,0.66
0.755,0.76
0.7075,0.665
0.6975,0.6475
0.69,0.6225
0.68,0.61
0.7125,0.715
0.715,0.7175
0.675,0.5825
0.6975,0.645
0.67,0.6275
0.6925,0.6475
0.7,0.6975
0.7175,0.675
0.655,0.585
0.6925,0.6475
0.7,0.62
0.7125,0.7475
0.6575,0.5625
0.7,0.6475
0.705,0.6475
0.6925,0.71
0.645,0.57
0.665,0.585
0.7025,0.685
0.71,0.67
0.7175,0.695
0.685,0.64
0.6375,0.61
0.705,0.655
0.72,0.69
0.7375,0.7625
0.66,0.5825
0.655,0.57
0.7475,0.755
0.735,0.6975
0.7,0.645
0.7275,0.6675
0.6775,0.57
0.7025,0.685
0.7325,0.735
0.7,0.6425
