Fc_real,Fc_pre
0.1,0.0
0.7825,0.8825
0.705,0.8
0.735,0.865
0.735,0.845
0.73,0.855
0.75,0.8325
0.77,0.93
0.7525,0.84
0.7075,0.7875
0.7275,0.7975
0.7575,0.84
0.745,0.8775
0.73,0.7925
0.7675,0.89
0.745,0.85
0.755,0.8675
0.6925,0.7525
0.7225,0.83
0.7525,0.875
0.7525,0.8775
0.745,0.8725
0.73,0.82
0.765,0.895
0.745,0.8775
0.75,0.8525
0.7425,0.9
0.705,0.74
0.7275,0.89
0.7525,0.83
0.7575,0.9125
0.725,0.815
0.7725,0.9
0.725,0.885
0.715,0.8
0.78,0.9025
0.7675,0.8975
0.7025,0.7525
0.7225,0.8275
0.715,0.82
0.745,0.86
0.74,0.83
0.7475,0.9275
0.67,0.7125
0.775,0.88
0.755,0.855
0.79,0.9125
0.7425,0.845
0.7525,0.905
0.7225,0.815
0.73,0.8225
0.755,0.8825
0.77,0.8625
0.7475,0.8725
0.735,0.845
0.7425,0.85
0.7375,0.835
0.685,0.7225
0.785,0.915
0.715,0.825
0.7325,0.8475
0.775,0.9025
0.76,0.8475
0.7825,0.88
0.7225,0.815
0.745,0.8775
0.7275,0.8375
0.78,0.925
0.7275,0.8375
0.68,0.6575
0.765,0.8925
0.7525,0.8825
0.695,0.7125
0.77,0.8625
0.7525,0.8575
0.7325,0.8725
0.78,0.8775
0.76,0.91
0.75,0.8575
0.7575,0.91
0.785,0.9125
0.72,0.7775
0.76,0.9125
0.74,0.8775
0.735,0.8175
0.69,0.7775
0.73,0.8
0.7925,0.9225
0.76,0.915
0.695,0.78
0.7625,0.8575
0.7725,0.92
0.7425,0.855
0.7275,0.7975
0.765,0.8675
0.7125,0.83
0.7275,0.815
0.735,0.8675
0.7325,0.845
