Fc_real,Fc_pre
0.1,0.0
0.8725,0.97
0.7425,0.8175
0.7625,0.7925
0.7275,0.745
0.74,0.7525
0.76,0.81
0.785,0.8775
0.7925,0.9175
0.7125,0.6725
0.7825,0.86
0.74,0.8
0.6825,0.6575
0.7325,0.7875
0.7375,0.75
0.765,0.8275
0.755,0.8225
0.76,0.785
0.76,0.8325
0.7725,0.8375
0.725,0.7375
0.72,0.7325
0.7675,0.865
0.7275,0.73
0.7775,0.88
0.7425,0.7625
0.745,0.8025
0.765,0.84
0.7425,0.8125
0.755,0.7525
0.75,0.785
0.73,0.7375
0.7775,0.875
0.77,0.83
0.74,0.7925
0.76,0.8125
0.7725,0.8525
0.7175,0.7175
0.78,0.86
0.76,0.8425
0.7575,0.7925
0.7,0.6225
0.7875,0.865
0.72,0.685
0.725,0.755
0.7475,0.7675
0.7425,0.78
0.73,0.7075
0.76,0.8175
0.7375,0.7175
0.7425,0.85
0.7225,0.6375
0.7325,0.7825
0.785,0.8775
0.755,0.805
0.785,0.8475
0.76,0.8675
0.7375,0.75
0.75,0.8025
0.7325,0.8125
0.72,0.7025
0.7825,0.8775
0.74,0.7925
0.765,0.805
0.7775,0.8825
0.7275,0.7175
0.775,0.8625
0.7725,0.8275
0.765,0.8425
0.7525,0.815
0.785,0.8775
0.7575,0.79
0.7625,0.8625
0.7575,0.8175
0.7525,0.8
0.7275,0.74
0.775,0.845
0.7275,0.7125
0.78,0.8625
0.7525,0.805
0.7575,0.7875
0.7675,0.8725
0.7825,0.8525
0.7525,0.8275
0.76,0.8175
0.7375,0.7525
0.77,0.8575
0.7775,0.855
0.77,0.85
0.7425,0.7775
0.7075,0.7075
0.7475,0.81
0.7575,0.825
0.755,0.8225
0.76,0.805
0.785,0.865
0.735,0.7275
0.77,0.8225
0.77,0.8725
