Fc_real,Fc_pre
0.1,0.1075
0.44,0.17
0.78,0.84
0.7475,0.7475
0.77,0.7725
0.715,0.6125
0.755,0.7975
0.705,0.66
0.7525,0.7825
0.7725,0.8225
0.705,0.6575
0.7575,0.775
0.7125,0.7275
0.7425,0.7225
0.74,0.79
0.7125,0.65
0.755,0.74
0.8025,0.8675
0.7325,0.675
0.79,0.87
0.74,0.7025
0.725,0.71
0.7675,0.815
0.7375,0.725
0.77,0.8125
0.7625,0.785
0.7475,0.7275
0.745,0.765
0.7325,0.7075
0.695,0.655
0.77,0.8125
0.6925,0.605
0.7675,0.7925
0.7725,0.7875
0.6975,0.625
0.73,0.7275
0.7275,0.7025
0.7025,0.6625
0.76,0.8275
0.695,0.6575
0.7625,0.8
0.735,0.7125
0.7325,0.7325
0.745,0.7775
0.74,0.765
0.7475,0.7725
0.74,0.75
0.72,0.7025
0.7725,0.7775
0.7575,0.78
0.7875,0.835
0.7,0.63
0.745,0.7525
0.7475,0.725
0.7425,0.74
0.7825,0.84
0.7575,0.72
0.7625,0.7775
0.7575,0.765
0.75,0.7725
0.7225,0.7025
0.735,0.7175
0.75,0.755
0.7675,0.7825
0.7825,0.86
0.74,0.7675
0.7625,0.7625
0.7,0.65
0.7675,0.785
0.7625,0.745
0.775,0.825
0.735,0.7375
0.75,0.7525
0.73,0.76
0.755,0.7375
0.7475,0.7525
0.725,0.7325
0.7325,0.7575
0.755,0.7625
0.7425,0.71
0.7425,0.7225
0.6925,0.585
0.7325,0.7375
0.695,0.655
0.78,0.8275
0.7125,0.6875
0.7275,0.725
0.7025,0.6125
0.75,0.78
0.7625,0.7825
0.765,0.775
0.7125,0.6375
0.755,0.7725
0.75,0.765
0.7275,0.74
0.745,0.7825
0.71,0.685
0.7425,0.7525
0.725,0.6875
