Fc_real,Fc_pre
0.1,0.0
0.9525,0.9925
0.725,0.695
0.7725,0.8825
0.775,0.8525
0.7925,0.8775
0.7725,0.8575
0.7775,0.875
0.7875,0.8725
0.7625,0.8275
0.7775,0.8325
0.7525,0.805
0.7425,0.7475
0.75,0.795
0.77,0.8525
0.7575,0.8
0.7675,0.8025
0.7475,0.7725
0.76,0.7775
0.7825,0.8725
0.7625,0.81
0.745,0.81
0.755,0.8125
0.78,0.8425
0.77,0.87
0.745,0.7375
0.7725,0.8675
0.75,0.7225
0.7575,0.855
0.755,0.83
0.73,0.72
0.74,0.7475
0.7275,0.7675
0.79,0.9225
0.7525,0.7925
0.7325,0.71
0.755,0.7475
0.77,0.8725
0.755,0.7775
0.76,0.8275
0.75,0.78
0.7525,0.8175
0.735,0.75
0.75,0.745
0.8075,0.935
0.765,0.795
0.8075,0.9075
0.7225,0.67
0.7925,0.8625
0.735,0.6875
0.7825,0.855
0.7525,0.77
0.7775,0.895
0.7375,0.7725
0.78,0.89
0.8025,0.95
0.7625,0.7825
0.7575,0.79
0.73,0.67
0.7675,0.825
0.775,0.845
0.7575,0.7975
0.775,0.8625
0.7275,0.715
0.765,0.755
0.7775,0.885
0.755,0.7425
0.72,0.7475
0.8175,0.92
0.76,0.81
0.7475,0.745
0.78,0.8675
0.73,0.7
0.775,0.8475
0.775,0.8475
0.7775,0.8425
0.75,0.79
0.775,0.855
0.73,0.725
0.735,0.8125
0.7625,0.775
0.7325,0.7325
0.8,0.9025
0.7675,0.855
0.7925,0.8875
0.7825,0.8875
0.75,0.775
0.725,0.6675
0.7575,0.7925
0.7325,0.75
0.7575,0.81
0.7625,0.7925
0.735,0.765
0.7475,0.73
0.745,0.8225
0.7575,0.825
0.765,0.79
0.7425,0.75
0.765,0.81
