Fc_real,Fc_pre
0.5449999999999999,0.5900000000000001
0.47,0.48250000000000004
0.43000000000000005,0.44999999999999996
0.4425,0.47
0.47250000000000003,0.485
0.49750000000000005,0.525
0.475,0.5025
0.48250000000000004,0.5125
0.5225,0.5800000000000001
0.5525,0.615
0.5175000000000001,0.5875
0.54,0.6
0.5825,0.645
0.5725,0.645
0.615,0.6725
0.6425000000000001,0.685
0.635,0.6825
0.6599999999999999,0.6875
0.6925,0.6950000000000001
0.6925,0.7
0.69,0.7050000000000001
0.73,0.735
0.74,0.7625
0.7150000000000001,0.725
0.7675,0.775
0.795,0.785
0.765,0.7625
0.765,0.7775
0.81,0.8175
0.83,0.8325
0.8325,0.84
0.8475,0.8674999999999999
0.8375,0.86
0.8525,0.8725
0.8625,0.8775
0.855,0.8625
0.8625,0.8875
0.86,0.8825000000000001
0.8575,0.8674999999999999
0.86,0.88
0.875,0.885
0.88,0.9025
0.9,0.91
0.905,0.905
0.905,0.9175
0.9299999999999999,0.9375
0.94,0.9425
0.9575,0.95
0.9525,0.9475
0.96,0.9525
0.97,0.9525
0.98,0.955
0.97,0.9475
0.965,0.95
0.965,0.9475
0.96,0.95
0.97,0.95
0.975,0.955
0.965,0.9525
0.9625,0.95
0.975,0.955
0.9825,0.955
0.9825,0.955
0.9725,0.9475
0.9675,0.9475
0.9775,0.95
0.9775,0.9525
0.985,0.955
0.99,0.9575
0.9925,0.96
0.995,0.96
1.0,0.9625
1.0,0.9625
1.0,0.9625
1.0,0.9625
1.0,0.9625
1.0,0.9625
1.0,0.9625
1.0,0.9625
1.0,0.9625
1.0,0.9625
1.0,0.9625
1.0,0.9625
1.0,0.9625
1.0,0.9625
1.0,0.9625
1.0,0.9625
1.0,0.9625
1.0,0.9625
1.0,0.9625
1.0,0.9625
1.0,0.9625
1.0,0.9625
1.0,0.9625
1.0,0.9625
1.0,0.9625
1.0,0.9625
1.0,0.9625
1.0,0.9625
1.0,0.9625
1.0,0.9625
1.0,0.9625
1.0,0.9625
1.0,0.9625
1.0,0.9625
1.0,0.9625
1.0,0.9625
1.0,0.9625
1.0,0.9625
1.0,0.9625
1.0,0.9625
1.0,0.9625
1.0,0.9625
1.0,0.9625
1.0,0.9625
1.0,0.9625
1.0,0.9625
1.0,0.9625
1.0,0.9625
1.0,0.9625
1.0,0.9625
1.0,0.9625
1.0,0.9625
1.0,0.9625
1.0,0.9625
1.0,0.9625
1.0,0.9625
1.0,0.9625
1.0,0.9625
1.0,0.9625
1.0,0.9625
1.0,0.9625
1.0,0.9625
1.0,0.9625
1.0,0.9625
1.0,0.9625
1.0,0.9625
1.0,0.9625
1.0,0.9625
1.0,0.9625
1.0,0.9625
1.0,0.9625
1.0,0.9625
1.0,0.9625
1.0,0.9625
1.0,0.9625
1.0,0.9625
1.0,0.9625
1.0,0.9625
