Fc_real,Fc_pre
0.46499999999999997,0.61
0.4425,0.49250000000000005
0.39,0.385
0.395,0.41000000000000003
0.42000000000000004,0.4275
0.4525,0.4575
0.46499999999999997,0.4625
0.485,0.46499999999999997
0.515,0.5125
0.55,0.5675
0.5725,0.5875
0.6,0.615
0.625,0.6375
0.6525000000000001,0.6625
0.6599999999999999,0.6725
0.7025,0.75
0.75,0.8175
0.81,0.855
0.845,0.885
0.87,0.8975
0.8825000000000001,0.8975
0.89,0.9175
0.905,0.9225
0.92,0.9375
0.9299999999999999,0.945
0.945,0.9575
0.9525,0.9575
0.95,0.9575
0.9475,0.9575
0.9525,0.9625
0.96,0.9625
0.96,0.9625
0.9625,0.965
0.965,0.97
0.9625,0.97
0.96,0.965
0.965,0.9775
0.9675,0.98
0.9675,0.9825
0.9775,0.9825
0.9825,0.9875
0.9875,0.9875
0.985,0.9875
0.9875,0.9875
0.99,0.9875
0.9875,0.9875
0.9875,0.9875
0.9875,0.9875
0.9875,0.9875
0.9875,0.9875
0.9875,0.9875
0.9875,0.9875
0.99,0.9925
0.9925,0.9925
0.99,0.9925
0.99,0.9925
0.995,0.9925
0.995,0.9925
0.995,0.9925
0.995,0.9925
0.995,0.9925
1.0,0.9975
1.0,0.9975
1.0,0.9975
1.0,0.9975
1.0,0.9975
1.0,0.9975
1.0,0.9975
1.0,0.9975
1.0,0.9975
1.0,0.9975
1.0,0.9975
1.0,0.9975
1.0,0.9975
1.0,0.9975
1.0,0.9975
1.0,0.9975
1.0,0.9975
1.0,0.9975
1.0,0.9975
1.0,0.9975
1.0,0.9975
1.0,0.9975
1.0,0.9975
1.0,0.9975
1.0,0.9975
1.0,0.9975
1.0,0.9975
1.0,0.9975
1.0,0.9975
1.0,0.9975
1.0,0.9975
1.0,0.9975
1.0,0.9975
1.0,0.9975
1.0,0.9975
1.0,0.9975
1.0,0.9975
1.0,0.9975
