Fc_real,Fc_pre
0.47,0.4575
0.4,0.36250000000000004
0.37250000000000005,0.35
0.3175,0.2925
0.33999999999999997,0.3425
0.36,0.36250000000000004
0.375,0.405
0.43500000000000005,0.48750000000000004
0.47,0.5225
0.5275000000000001,0.575
0.52,0.5549999999999999
0.5725,0.615
0.64,0.6575
0.6525000000000001,0.64
0.6625,0.6575
0.685,0.665
0.7075,0.685
0.7275,0.6975
0.7575000000000001,0.72
0.7675,0.7525
0.7725,0.7575000000000001
0.7875,0.7725
0.8075,0.7925
0.8425,0.8200000000000001
0.845,0.815
0.8575,0.8325
0.8275,0.8049999999999999
0.83,0.8175
0.8025,0.8049999999999999
0.8200000000000001,0.81
0.8200000000000001,0.8075
0.8049999999999999,0.7975
0.8325,0.815
0.8375,0.81
0.835,0.8125
0.8325,0.8200000000000001
0.83,0.7975
0.8225,0.8049999999999999
0.865,0.84
0.8875,0.8575
0.8725,0.84
0.88,0.85
0.8725,0.845
0.8975,0.8775
0.8975,0.87
0.9,0.8674999999999999
0.9175,0.8725
0.9125,0.875
0.915,0.8674999999999999
0.9075,0.86
0.915,0.87
0.9175,0.88
0.91,0.86
0.9175,0.87
0.915,0.8674999999999999
0.9225,0.885
0.9175,0.8674999999999999
0.935,0.9025
0.92,0.8775
0.9299999999999999,0.8925
0.92,0.8875
0.9325,0.895
0.94,0.905
0.9325,0.8975
0.9299999999999999,0.9
0.9425,0.9075
0.9375,0.9025
0.9299999999999999,0.8925
0.95,0.915
0.96,0.9225
0.97,0.935
0.97,0.925
0.9625,0.9175
0.9625,0.915
0.955,0.91
0.9525,0.895
0.955,0.9125
0.96,0.9175
0.9575,0.91
0.95,0.9025
0.9575,0.915
0.9675,0.9225
0.9675,0.92
0.97,0.92
0.9625,0.9175
0.965,0.9125
0.97,0.915
0.96,0.9075
0.9675,0.915
0.9625,0.91
0.965,0.915
0.965,0.9075
0.965,0.915
0.97,0.9225
0.965,0.915
0.9775,0.9275
0.975,0.925
0.9825,0.9325
0.9725,0.9299999999999999
