Fc_real,Fc_pre
0.5,0.47250000000000003
0.45499999999999996,0.4175
0.39,0.31499999999999995
0.40249999999999997,0.3275
0.39249999999999996,0.30500000000000005
0.375,0.27
0.365,0.275
0.39249999999999996,0.3375
0.43999999999999995,0.39
0.475,0.44999999999999996
0.5025,0.5
0.5025,0.505
0.52,0.52
0.585,0.6125
0.565,0.595
0.5475,0.565
0.5625,0.5775
0.5725,0.5725
0.5925,0.595
0.5325,0.5125
0.52,0.5
0.51,0.5
0.49,0.48250000000000004
0.4525,0.4375
0.42000000000000004,0.37
0.4075,0.35
0.4,0.3375
0.4525,0.4275
0.5075000000000001,0.5325
0.56,0.6025
0.5549999999999999,0.5800000000000001
0.585,0.65
0.61,0.7050000000000001
0.62,0.7125
0.65,0.7775
0.6799999999999999,0.8275
0.7125,0.8375
0.7075,0.85
0.6875,0.845
0.6875,0.8475
0.6950000000000001,0.86
0.6625,0.8275
0.6475,0.8025
0.6625,0.83
0.6725,0.845
0.6625,0.8375
0.6525000000000001,0.815
0.7,0.8725
0.6725,0.865
0.665,0.845
0.6725,0.8425
0.6975,0.885
0.6699999999999999,0.84
0.69,0.85
0.6875,0.8475
0.755,0.915
0.7525,0.9175
0.7975,0.9475
0.83,0.9575
0.845,0.955
0.845,0.955
0.84,0.9525
0.86,0.9575
0.8375,0.955
0.8475,0.955
0.86,0.9625
0.8875,0.9675
0.885,0.96
0.9125,0.97
0.9299999999999999,0.98
0.9299999999999999,0.975
0.935,0.9725
0.9425,0.975
0.9425,0.9775
0.925,0.9675
0.9225,0.9675
0.925,0.9675
0.9299999999999999,0.97
0.9275,0.9725
0.91,0.9675
0.9175,0.97
0.9275,0.9725
0.9299999999999999,0.975
0.9325,0.975
0.935,0.975
0.9299999999999999,0.9775
0.9425,0.97
0.9575,0.98
0.9625,0.98
0.955,0.9775
0.96,0.98
0.955,0.9775
0.9475,0.975
0.955,0.9725
0.97,0.98
0.9825,0.985
0.975,0.98
0.9775,0.985
0.9875,0.985
0.9825,0.9825
0.985,0.985
0.9875,0.985
0.9925,0.9875
0.99,0.9825
0.9875,0.985
0.9875,0.985
0.9875,0.985
0.9825,0.9825
0.98,0.9825
0.985,0.985
0.9925,0.9875
0.99,0.985
0.9875,0.985
0.995,0.985
0.9975,0.9875
0.9975,0.9875
0.995,0.9875
0.9975,0.9875
0.9975,0.985
0.9975,0.9875
0.9975,0.9875
1.0,0.9875
1.0,0.985
1.0,0.985
1.0,0.9875
1.0,0.985
1.0,0.9875
1.0,0.9875
1.0,0.9875
1.0,0.985
1.0,0.9875
1.0,0.9875
1.0,0.9875
1.0,0.985
1.0,0.9875
1.0,0.985
1.0,0.985
1.0,0.9875
1.0,0.985
1.0,0.985
1.0,0.9875
1.0,0.985
1.0,0.9875
1.0,0.9875
1.0,0.9875
1.0,0.9875
1.0,0.9875
1.0,0.985
1.0,0.985
