Fc_real,Fc_pre
0.1,0.0
0.7825,0.8225
0.705,0.665
0.735,0.755
0.735,0.6425
0.73,0.69
0.75,0.695
0.77,0.8475
0.7525,0.7625
0.7075,0.63
0.7275,0.7125
0.7575,0.74
0.745,0.7275
0.73,0.685
0.7675,0.78
0.745,0.7075
0.755,0.75
0.6925,0.61
0.7225,0.695
0.7525,0.765
0.7525,0.76
0.745,0.7275
0.73,0.725
0.765,0.7975
0.745,0.7375
0.75,0.7125
0.7425,0.7725
0.705,0.545
0.7275,0.76
0.7525,0.72
0.7575,0.78
0.725,0.6575
0.7725,0.8175
0.725,0.71
0.715,0.6125
0.78,0.785
0.7675,0.785
0.7025,0.63
0.7225,0.6975
0.715,0.65
0.745,0.7125
0.74,0.695
0.7475,0.795
0.67,0.5225
0.775,0.77
0.755,0.7875
0.79,0.8275
0.7425,0.6775
0.7525,0.8025
0.7225,0.6825
0.73,0.705
0.755,0.73
0.77,0.7575
0.7475,0.7525
0.735,0.7275
0.7425,0.7325
0.7375,0.7225
0.685,0.59
0.785,0.8575
0.715,0.65
0.7325,0.7175
0.775,0.815
0.76,0.745
0.7825,0.805
0.7225,0.7175
0.745,0.755
0.7275,0.72
0.78,0.8675
0.7275,0.7425
0.68,0.5325
0.765,0.7825
0.7525,0.71
0.695,0.525
0.77,0.7475
0.7525,0.7125
0.7325,0.735
0.78,0.7925
0.76,0.79
0.75,0.71
0.7575,0.765
0.785,0.805
0.72,0.6225
0.76,0.7875
0.74,0.73
0.735,0.6825
0.69,0.625
0.73,0.6875
0.7925,0.815
0.76,0.7575
0.695,0.5825
0.7625,0.7925
0.7725,0.7975
0.7425,0.7325
0.7275,0.695
0.765,0.7725
0.7125,0.6975
0.7275,0.6475
0.735,0.73
0.7325,0.6725
