Fc_real,Fc_pre
0.1,0.2475
0.14,0.5575
0.17,0.465
0.2575,0.465
0.365,0.4275
0.395,0.415
0.425,0.46
0.45,0.425
0.4475,0.39
0.465,0.4525
0.5075,0.4325
0.495,0.4075
0.51,0.49
0.485,0.45
0.5075,0.4575
0.5125,0.49
0.515,0.485
0.515,0.455
0.53,0.4875
0.535,0.51
0.49,0.46
0.4875,0.455
0.48,0.46
0.4775,0.465
0.4775,0.4725
0.4625,0.445
0.5075,0.4425
0.5275,0.52
0.47,0.39
0.505,0.4725
0.4575,0.4
0.4375,0.45
0.425,0.4325
0.4475,0.4125
0.485,0.4825
0.47,0.4425
0.46,0.395
0.4875,0.46
0.4775,0.4675
0.4025,0.36
0.4625,0.435
0.4975,0.4525
0.5,0.48
0.4725,0.41
0.515,0.535
0.47,0.4275
0.4675,0.4325
0.4775,0.4675
0.5,0.495
0.445,0.4425
0.445,0.42
0.475,0.4575
0.4925,0.44
0.51,0.4925
0.48,0.4
0.4875,0.4675
0.455,0.395
0.4525,0.4325
0.4225,0.45
0.4125,0.405
0.4375,0.4675
0.4625,0.4425
0.47,0.4625
0.5075,0.4875
0.4875,0.465
0.455,0.42
0.485,0.4875
0.435,0.3925
0.445,0.4625
0.4975,0.5075
0.4975,0.4725
0.495,0.4975
0.48,0.46
0.4775,0.4525
0.51,0.4925
0.51,0.4675
0.5075,0.42
0.5025,0.4325
0.5125,0.465
0.51,0.4775
0.5225,0.4875
0.46,0.435
0.48,0.4575
0.4975,0.4525
0.445,0.4525
0.4925,0.4575
0.5075,0.465
0.5025,0.4725
0.4875,0.4125
0.5125,0.4675
0.5025,0.4425
0.5125,0.4875
0.465,0.4625
0.4575,0.4475
0.4575,0.4275
0.4625,0.4275
0.4575,0.4525
0.4475,0.45
0.4725,0.455
