Fc_real,Fd_real,Fe_real,Fc_pre,Fd_pre,Fe_pre
0.54407788,0.146565711,0.309356409,0.57598702,0.09951325,0.32449973
0.540832883,0.154137372,0.305029746,0.570578691,0.097890752,0.331530557
0.535424554,0.155219037,0.309356409,0.571119524,0.091400757,0.337479719
0.53650622,0.150892374,0.312601406,0.567874527,0.09572742,0.336398053
0.527312061,0.167658194,0.305029746,0.55164954,0.111952407,0.336398053
0.51595457,0.179556517,0.304488913,0.531638724,0.11249324,0.355868037
0.505137912,0.19145484,0.303407247,0.518117902,0.115197404,0.366684694
0.502433748,0.195781504,0.301784749,0.518117902,0.115197404,0.366684694
0.485127096,0.210383991,0.304488913,0.507842077,0.12763656,0.364521363
0.477555435,0.216333153,0.306111412,0.505678745,0.130881558,0.363439697
0.462412115,0.230935641,0.306652244,0.488912926,0.156300703,0.354786371
0.45592212,0.24391563,0.30016225,0.485667929,0.161709032,0.352623039
0.451054624,0.247160627,0.301784749,0.467820443,0.152514873,0.379664684
0.436452136,0.257977285,0.305570579,0.455381287,0.166035695,0.378583018
0.426717144,0.261222282,0.312060573,0.447809627,0.171444024,0.380746349
0.421308816,0.257436452,0.321254732,0.435911303,0.170903191,0.393185506
0.420767983,0.255273121,0.323958897,0.44456463,0.160627366,0.394808004
0.408328826,0.259058951,0.332612223,0.43158464,0.158464035,0.409951325
0.406706328,0.263385614,0.329908058,0.421308816,0.160627366,0.418063818
0.38831801,0.270957274,0.340724716,0.402379665,0.159004867,0.438615468
0.382368848,0.273661439,0.343969713,0.401838832,0.161168199,0.436992969
0.375878853,0.277988102,0.346133045,0.394808004,0.156841536,0.44835046
0.376960519,0.277447269,0.345592212,0.399134667,0.15575987,0.445105462
0.369388859,0.276906436,0.353704705,0.394808004,0.154137372,0.451054624
0.362358031,0.272579773,0.365062196,0.387236344,0.14818821,0.464575446
0.349918875,0.274202271,0.375878853,0.368848026,0.149810708,0.481341266
0.338561385,0.275283937,0.386154678,0.351541374,0.147106544,0.501352082
0.326122228,0.277447269,0.396430503,0.33585722,0.149810708,0.514332071
0.315846403,0.286100595,0.398053002,0.306652244,0.164413196,0.528934559
0.315846403,0.279069767,0.405083829,0.30394808,0.169280692,0.526771228
0.312060573,0.282314765,0.405624662,0.30773391,0.167658194,0.524607896
0.306652244,0.280692266,0.412655489,0.301784749,0.169821525,0.528393726
0.30773391,0.281773932,0.410492158,0.299621417,0.175770687,0.524607896
0.302866414,0.284478096,0.412655489,0.297998918,0.18009735,0.521903732
0.297998918,0.284478096,0.417522985,0.30016225,0.181719849,0.518117902
0.294213088,0.286100595,0.419686317,0.294753921,0.18766901,0.517577069
0.296917253,0.282855598,0.42022715,0.297998918,0.178474851,0.52352623
0.285559762,0.283396431,0.431043807,0.274743104,0.200648999,0.524607896
0.274743104,0.293672255,0.43158464,0.280692266,0.199567334,0.5197404
0.263385614,0.302866414,0.433747972,0.258518118,0.209843158,0.531638724
0.262303948,0.289345592,0.44835046,0.255273121,0.220659816,0.524067063
0.270416441,0.27582477,0.453758789,0.262844781,0.215251487,0.521903732
0.274202271,0.255273121,0.470524608,0.266089778,0.208761493,0.525148729
0.279069767,0.24391563,0.477014602,0.276906436,0.195781504,0.527312061
0.286641428,0.235262304,0.478096268,0.286100595,0.188750676,0.525148729
0.288263926,0.222282315,0.489453759,0.290427258,0.171984857,0.537587885
0.288263926,0.214710654,0.497025419,0.291508924,0.157923202,0.550567875
0.289886425,0.217414819,0.492698756,0.29259059,0.159004867,0.548404543
0.279069767,0.214710654,0.506219578,0.282314765,0.143320714,0.574364521
0.271498107,0.208761493,0.5197404,0.274743104,0.150351541,0.574905354
0.269334776,0.199026501,0.531638724,0.266630611,0.154678204,0.578691184
0.255813953,0.201189832,0.542996214,0.261763115,0.141698215,0.59653867
0.244997296,0.209302326,0.545700379,0.253650622,0.147106544,0.599242834
0.234180638,0.209843158,0.555976203,0.23255814,0.160627366,0.606814494
0.222823148,0.217414819,0.559762034,0.220659816,0.174689021,0.604651163
0.224445646,0.206598161,0.568956193,0.221200649,0.176852353,0.601946998
0.217955652,0.202812331,0.579232017,0.20822066,0.174689021,0.617090319
0.211465657,0.201730665,0.586803678,0.199026501,0.179015684,0.621957815
0.210383991,0.197944835,0.591671174,0.202812331,0.179556517,0.617631152
0.207138994,0.205516495,0.587344511,0.203353164,0.186046512,0.610600324
0.209843158,0.197404002,0.592752839,0.213628989,0.175229854,0.611141157
0.20443483,0.20443483,0.591130341,0.190373175,0.177934018,0.631692807
0.196863169,0.213628989,0.589507842,0.180638183,0.189291509,0.630070308
0.195781504,0.216333153,0.587885343,0.181179016,0.17631152,0.642509465
0.194159005,0.207138994,0.598702001,0.184964846,0.183342347,0.631692807
0.190373175,0.206598161,0.603028664,0.176852353,0.189832342,0.633315306
0.190914008,0.199567334,0.609518659,0.17631152,0.196322336,0.627366144
0.19145484,0.196322336,0.612222823,0.179015684,0.203893997,0.617090319
0.184424013,0.199026501,0.616549486,0.182260681,0.204975663,0.612763656
