Fc_real,Fd_real,Fe_real,Fc_pre,Fd_pre,Fe_pre
0.320713899,0.353704705,0.325581395,0.309248242,0.390751758,0.28799351
0.320173067,0.444023797,0.235803137,0.31200649,0.58799351,0.120908599
0.33585722,0.473228772,0.190914008,0.362844781,0.537155219,0.120459708
0.365603029,0.45592212,0.178474851,0.519091401,0.480908599,0.110459708
0.379123851,0.460248783,0.160627366,0.520459708,0.499540292,0.110459708
0.406165495,0.461871282,0.131963223,0.494808004,0.505191996,0.110459708
0.411032991,0.471606274,0.117360736,0.454542996,0.545457004,0.110459708
0.409951325,0.482963764,0.107084911,0.413196322,0.586803678,0.100459708
0.418604651,0.479177934,0.102217415,0.442401298,0.557598702,0.100459708
0.417522985,0.492157923,0.090319091,0.433207139,0.566792861,0.070459708
0.412114657,0.499729584,0.08815576,0.422390481,0.577609519,0.060459708
0.406706328,0.505137912,0.08815576,0.415359654,0.584640346,0.039459708
0.41644132,0.497566252,0.085992428,0.432125473,0.567874527,0.039459708
0.426176312,0.487290427,0.086533261,0.447268794,0.552731206,0.039459708
0.426717144,0.484586263,0.088696593,0.437533802,0.562466198,0.039459708
0.437533802,0.471065441,0.091400757,0.460248783,0.539751217,0.039459708
0.454840454,0.454840454,0.090319091,0.477014602,0.522985398,0.039459708
0.449972958,0.460248783,0.089778259,0.468902109,0.531097891,0.01298565
0.466738778,0.445105462,0.08815576,0.500270416,0.499729584,0.01298565
0.49161709,0.424553813,0.083829097,0.533261222,0.466738778,0.009298565
0.492698756,0.423472147,0.083829097,0.532720389,0.467279611,0.009298565
0.502433748,0.421849648,0.075716604,0.542996214,0.457003786,0.009298565
0.508923743,0.422931314,0.068144943,0.581936182,0.418063818,0.009298565
0.495943753,0.440237966,0.06381828,0.535965387,0.464034613,0.009298565
0.496484586,0.442401298,0.061114116,0.527312061,0.472687939,0.009298565
0.511087074,0.432125473,0.056787453,0.552731206,0.447268794,0
0.52352623,0.425094646,0.051379124,0.559762034,0.440237966,0
0.514872904,0.438074635,0.047052461,0.558680368,0.441319632,0
0.522444565,0.436992969,0.040562466,0.560843699,0.439156301,0
0.525148729,0.437533802,0.037317469,0.566252028,0.433747972,0
0.53650622,0.43158464,0.03190914,0.592212006,0.407787994,0
0.545159546,0.424553813,0.030286641,0.61546782,0.38453218,0
0.544618713,0.432125473,0.023255814,0.61168199,0.38831801,0
0.54786371,0.439697134,0.012439156,0.624121147,0.375878853,0
0.53650622,0.451054624,0.012439156,0.612763656,0.387236344,0
0.55164954,0.438074635,0.010275825,0.623039481,0.376960519,0
0.557057869,0.428880476,0.014061655,0.641968632,0.358031368,0
0.557057869,0.43158464,0.011357491,0.637641969,0.362358031,0
0.563007031,0.426176312,0.010816658,0.625202812,0.374797188,0
0.545700379,0.445105462,0.009194159,0.618712818,0.381287182,0
0.548404543,0.441860465,0.009734992,0.621416982,0.378583018,0
0.549486209,0.44456463,0.005949162,0.632774473,0.367225527,0
0.553272039,0.440778799,0.005949162,0.652244456,0.347755544,0
0.54407788,0.449972958,0.005949162,0.627366144,0.372633856,0
0.531638724,0.464034613,0.004326663,0.607355327,0.392644673,0
0.53650622,0.458626284,0.004867496,0.605191996,0.394808004,0
0.527312061,0.467820443,0.004867496,0.587885343,0.412114657,0
0.525148729,0.469442942,0.005408329,0.57598702,0.42401298,0
0.533802055,0.460248783,0.005949162,0.590589508,0.409410492,0
0.528393726,0.465657112,0.005949162,0.591130341,0.408869659,0
0.514332071,0.477555435,0.008112493,0.563007031,0.436992969,0
0.527852893,0.462952948,0.009194159,0.587344511,0.412655489,0
0.5197404,0.470524608,0.009734992,0.585722012,0.414277988,0
0.539210384,0.447809627,0.012979989,0.594916171,0.405083829,0
0.54029205,0.445105462,0.014602488,0.601946998,0.398053002,0
0.530557058,0.453217956,0.016224986,0.583017847,0.416982153,0
0.535424554,0.446187128,0.018388318,0.594375338,0.405624662,0
0.531097891,0.447809627,0.021092482,0.593834505,0.406165495,0
0.534883721,0.440778799,0.02433748,0.585181179,0.414818821,0
0.524067063,0.450513791,0.025419145,0.574905354,0.425094646,0
0.548404543,0.428339643,0.023255814,0.606814494,0.393185506,0
0.556517036,0.418063818,0.025419145,0.612763656,0.387236344,0
0.55543537,0.419145484,0.025419145,0.614386155,0.385613845,0
0.563007031,0.411032991,0.025959978,0.626284478,0.373715522,0
0.559221201,0.412114657,0.028664143,0.620876149,0.379123851,0
0.563547864,0.406165495,0.030286641,0.636560303,0.363439697,0
0.557057869,0.412114657,0.030827474,0.63601947,0.36398053,0
0.584640346,0.387777177,0.027582477,0.666306111,0.333693889,0
0.578150352,0.396971336,0.024878313,0.669010276,0.330989724,0
0.570037858,0.410492158,0.019469984,0.647917793,0.352082207,0
0.567874527,0.420767983,0.011357491,0.648458626,0.351541374,0
0.570578691,0.420767983,0.008653326,0.640346133,0.359653867,0
0.569497025,0.425094646,0.005408329,0.646295295,0.353704705,0
0.6003245,0.398053002,0.001622499,0.696592753,0.303407247,0
0.593293672,0.405624662,0.001081666,0.686857761,0.313142239,0
0.579232017,0.42022715,0.000540833,0.664683613,0.335316387,0
0.579232017,0.42022715,0.000540833,0.648999459,0.351000541,0
0.570578691,0.429421309,0,0.626284478,0.373715522,0
0.57598702,0.42401298,0,0.640886966,0.359113034,0
0.574364521,0.425635479,0,0.64359113,0.35640887,0
0.585722012,0.414277988,0,0.663601947,0.336398053,0
0.592212006,0.407787994,0,0.669551109,0.330448891,0
0.587344511,0.412655489,0,0.667387777,0.332612223,0
0.578691184,0.421308816,0,0.653866955,0.346133045,0
0.588967009,0.411032991,0,0.666846944,0.333153056,0
0.571660357,0.428339643,0,0.64359113,0.35640887,0
0.567874527,0.432125473,0,0.643050297,0.356949703,0
0.539210384,0.460789616,0,0.599242834,0.400757166,0
0.54407788,0.45592212,0,0.599783667,0.400216333,0
0.542996214,0.457003786,0,0.613845322,0.386154678,0
0.542455381,0.457544619,0,0.606814494,0.393185506,0
0.540832883,0.459167117,0,0.597079502,0.402920498,0
0.529475392,0.470524608,0,0.583017847,0.416982153,0
0.525689562,0.474310438,0,0.571660357,0.428339643,0
0.54407788,0.45592212,0,0.597620335,0.402379665,0
0.531097891,0.468902109,0,0.588426176,0.411573824,0
0.532179557,0.467820443,0,0.584640346,0.415359654,0
0.534883721,0.465116279,0,0.59653867,0.40346133,0
0.531097891,0.468902109,0,0.588426176,0.411573824,0
0.521903732,0.478096268,0,0.568956193,0.431043807,0
0.534883721,0.465116279,0,0.592752839,0.407247161,0
0.534883721,0.465116279,0,0.597620335,0.402379665,0
0.524607896,0.475392104,0,0.57598702,0.42401298,0
0.555976203,0.444023797,0,0.623039481,0.376960519,0
0.577068686,0.422931314,0,0.659275284,0.340724716,0
0.570037858,0.429962142,0,0.651162791,0.348837209,0
0.565711195,0.434288805,0,0.640886966,0.359113034,0
0.57220119,0.42779881,0,0.649540292,0.350459708,0
0.569497025,0.430502975,0,0.638182802,0.361817198,0
0.566792861,0.433207139,0,0.630070308,0.369929692,0
0.580313683,0.419686317,0,0.646295295,0.353704705,0
0.58355868,0.41644132,0,0.646836128,0.353163872,0
0.57977285,0.42022715,0,0.654407788,0.345592212,0
0.580313683,0.419686317,0,0.651703624,0.348296376,0
0.571119524,0.428880476,0,0.640886966,0.359113034,0
0.584640346,0.415359654,0,0.652785289,0.347214711,0
0.590048675,0.409951325,0,0.671173607,0.328826393,0
0.57977285,0.42022715,0,0.648458626,0.351541374,0
0.578691184,0.421308816,0,0.645213629,0.354786371,0
0.565711195,0.434288805,0,0.62844781,0.37155219,0
0.566252028,0.433747972,0,0.632774473,0.367225527,0
0.559762034,0.440237966,0,0.624121147,0.375878853,0
0.563547864,0.436452136,0,0.630611141,0.369388859,0
0.560843699,0.439156301,0,0.619253651,0.380746349,0
0.570037858,0.429962142,0,0.621957815,0.378042185,0
0.580854516,0.419145484,0,0.644131963,0.355868037,0
0.571660357,0.428339643,0,0.631692807,0.368307193,0
0.583017847,0.416982153,0,0.645754462,0.354245538,0
0.576527853,0.423472147,0,0.640886966,0.359113034,0
0.578150352,0.421849648,0,0.648458626,0.351541374,0
0.553812872,0.446187128,0,0.605732829,0.394267171,0
0.549486209,0.450513791,0,0.601406165,0.398593835,0
0.550567875,0.449432125,0,0.593293672,0.406706328,0
0.545159546,0.454840454,0,0.592212006,0.407787994,0
0.546241211,0.453758789,0,0.593834505,0.406165495,0
0.563547864,0.436452136,0,0.626284478,0.373715522,0
0.558680368,0.441319632,0,0.622498648,0.377501352,0
0.576527853,0.423472147,0,0.640886966,0.359113034,0
0.578150352,0.421849648,0,0.637641969,0.362358031,0
0.580313683,0.419686317,0,0.634937804,0.365062196,0
0.583017847,0.416982153,0,0.648999459,0.351000541,0
0.56841536,0.43158464,0,0.627906977,0.372093023,0
0.567874527,0.432125473,0,0.641968632,0.358031368,0
0.550027042,0.449972958,0,0.610059492,0.389940508,0
0.550027042,0.449972958,0,0.613845322,0.386154678,0
0.544618713,0.455381287,0,0.592752839,0.407247161,0
0.543537047,0.456462953,0,0.599242834,0.400757166,0
0.537587885,0.462412115,0,0.58355868,0.41644132,0
0.543537047,0.456462953,0,0.595997837,0.404002163,0
0.54407788,0.45592212,0,0.594916171,0.405083829,0
0.537587885,0.462412115,0,0.566792861,0.433207139,0
0.555976203,0.444023797,0,0.60411033,0.39588967,0
0.552190373,0.447809627,0,0.599242834,0.400757166,0
0.549486209,0.450513791,0,0.598161168,0.401838832,0
0.543537047,0.456462953,0,0.579232017,0.420767983,0
0.551108707,0.448891293,0,0.581936182,0.418063818,0
0.548404543,0.451595457,0,0.574364521,0.425635479,0
0.547322877,0.452677123,0,0.580854516,0.419145484,0
0.542996214,0.457003786,0,0.585181179,0.414818821,0
0.553272039,0.446727961,0,0.604651163,0.395348837,0
0.543537047,0.456462953,0,0.597079502,0.402920498,0
0.558139535,0.441860465,0,0.61546782,0.38453218,0
0.55543537,0.44456463,0,0.616549486,0.383450514,0
0.563007031,0.436992969,0,0.620335316,0.379664684,0
0.54786371,0.45213629,0,0.606273661,0.393726339,0
0.537047052,0.462952948,0,0.589507842,0.410492158,0
0.553812872,0.446187128,0,0.619253651,0.380746349,0
0.546782044,0.453217956,0,0.619253651,0.380746349,0
0.548945376,0.451054624,0,0.614386155,0.385613845,0
0.557598702,0.442401298,0,0.619794484,0.380205516,0
0.560302866,0.439697134,0,0.630611141,0.369388859,0
0.56841536,0.43158464,0,0.657652785,0.342347215,0
0.563007031,0.436992969,0,0.648999459,0.351000541,0
0.554353705,0.445646295,0,0.625743645,0.374256355,0
