-7.94E-17,2.940251,0.001078388,-2.703064,-1.4715489,-1.3278846,3.89E-23,0.08865334,-0.39604914,-2.9157784,-0.96736604,-7.18E-17,-3.60E-20,0.2934503,1.59E-21,0.000356831,0.7263947,1.02E-23,-0.002189579,-0.001115379,0.003133091,2.8548388,-2.7202353,3.39E-19,1.8382481,-2.66E-07,-1.90E-05,-0.010979656,-2.5305004,-2.83E-18,0.9269323,1.0974205
-8.67E-17,3.0584843,0.001186831,-2.8141263,-1.5369695,-1.3856807,3.99E-23,0.0915778,-0.41419175,-3.0331872,-1.0121298,9.18E-17,-3.99E-20,0.3067348,1.70E-21,0.000389475,0.7615367,1.07E-23,-0.001162407,-0.001224131,0.003559549,2.9692562,-2.8303518,3.70E-19,1.9163487,-2.88E-07,-2.08E-05,-0.013069605,-2.6331985,-3.20E-18,0.9701925,1.1468151
-7.01E-17,2.3608012,0.000927232,-2.171709,-1.1853223,-1.0684916,3.88E-23,0.07084973,-0.3191372,-2.3412545,-0.78025585,-3.12E-16,-3.30E-20,0.23643747,1.50E-21,0.000310597,0.5868592,9.82E-24,-0.001070799,-0.00099952,0.002693054,2.2918706,-2.1844425,3.04E-19,1.4784346,-2.28E-07,-1.73E-05,-0.010410901,-2.0320566,-2.53E-18,0.7480251,0.8843734
-6.60E-17,2.121236,0.000849159,-1.9512411,-1.0640181,-0.95833313,3.88E-23,0.06311666,-0.28519908,-2.1036727,-0.6998303,-3.53E-16,-3.12E-20,0.21115993,1.45E-21,0.000286441,0.52629375,9.61E-24,-0.000677909,-0.000923426,0.002461397,2.0590067,-1.9623857,2.86E-19,1.3273208,-2.09E-07,-1.61E-05,-0.009949757,-1.8250806,-2.36E-18,0.6711109,0.79341936
-2.17E-17,0.2861312,2.64E-05,-0.25852388,-0.13374454,-0.1250224,4.05E-23,0.013563857,-0.03987607,-0.28321487,-0.08648421,-1.86E-15,-1.36E-20,0.030998752,1.06E-21,4.68E-05,0.061911356,8.09E-24,-0.004096548,-0.000254037,-0.000605423,0.27888268,-0.26389426,1.23E-19,0.17341295,-3.84E-08,-5.71E-06,0.001756246,-0.24537379,-4.86E-19,0.08170329,0.10017123
-2.67E-18,-0.56969416,-0.000342715,0.53051656,0.2994249,0.26359162,4.18E-23,-0.009645913,0.074697435,0.5657772,0.19895081,-2.56E-15,-6.15E-21,-0.053160705,9.16E-22,-5.95E-05,-0.15383351,7.56E-24,-0.005471222,4.20E-05,-0.001982449,-0.5514666,0.52822155,5.61E-20,-0.3645198,3.71E-08,-1.13E-06,0.006804888,0.49148053,3.28E-19,-0.19244981,-0.22270367
9.38E-19,-0.83884937,-0.000589451,0.7812012,0.44092518,0.38546768,4.73E-23,-0.012539803,0.10655413,0.8332592,0.2922046,-2.90E-15,-5.94E-21,-0.0754205,1.05E-21,-0.000126577,-0.22640507,8.60E-24,-0.009092622,0.000232233,-0.00311287,-0.81153643,0.77731645,6.12E-20,-0.53628916,7.42E-08,1.87E-06,0.012807183,0.7225758,4.93E-19,-0.2836392,-0.32746667
-2.88E-17,0.5833182,0.000251081,-0.53422254,-0.2875098,-0.25910038,3.91E-23,0.019038584,-0.07652668,-0.5782611,-0.18795505,-1.66E-15,-1.61E-20,0.057249866,1.09E-21,0.000113368,0.14034094,8.09E-24,-0.001574608,-0.000441479,0.000319097,0.56642175,-0.5388444,1.47E-19,0.36140767,-8.00E-08,-8.73E-06,-0.003227828,-0.5005339,-7.81E-19,0.1802757,0.21418515
-8.25E-17,2.7548025,0.001094703,-2.5345988,-1.3819462,-1.2439686,3.98E-23,0.08106195,-0.3693227,-2.7320197,-0.9086883,1.77E-16,-3.78E-20,0.27313033,1.64E-21,0.000359449,0.6836412,1.05E-23,-0.000281294,-0.001116852,0.003326443,2.673711,-2.5484,3.52E-19,1.7233928,-2.65E-07,-1.91E-05,-0.012865504,-2.3699164,-3.02E-18,0.8714627,1.0299963
-5.06E-17,1.4850755,0.000637816,-1.3657393,-0.74436677,-0.6693815,3.88E-23,0.043998703,-0.19809318,-1.4727806,-0.48924193,-9.64E-16,-2.49E-20,0.14667258,1.30E-21,0.000227104,0.36801574,8.93E-24,-0.000370968,-0.000764237,0.001730282,1.4414511,-1.373681,2.27E-19,0.92868173,-1.62E-07,-1.38E-05,-0.008350002,-1.2772901,-1.69E-18,0.4695093,0.55488276
-4.26E-17,1.2179226,0.000525722,-1.1196797,-0.6104719,-0.5493231,3.76E-23,0.036739532,-0.16322243,-1.2078259,-0.40151632,-1.18E-15,-2.16E-20,0.121095896,1.19E-21,0.000192264,0.3020236,8.39E-24,-0.000689103,-0.00067128,0.001335347,1.1822953,-1.1266009,1.96E-19,0.7618352,-1.36E-07,-1.23E-05,-0.006799741,-1.0476133,-1.39E-18,0.3853398,0.4554369
-7.91E-18,-0.09606512,1.96E-05,0.090959504,0.05259699,0.04800665,3.55E-23,-0.001568816,0.01544433,0.09537691,0.035672806,-2.26E-15,-7.00E-21,-0.010838477,7.82E-22,4.24E-05,-0.027570339,6.48E-24,-0.001121874,-0.000253483,-0.000426385,-0.09297596,0.089655936,5.86E-20,-0.063055724,-2.21E-08,-5.83E-06,-0.001297219,0.08402157,6.88E-20,-0.033703156,-0.039152928
-1.98E-17,0.47913057,0.000250395,-0.43947172,-0.2411515,-0.21723302,3.57E-23,0.016292453,-0.065805025,-0.47514027,-0.15964016,-2.14E-15,-1.23E-20,0.049517617,9.30E-22,0.000113708,0.12050605,7.13E-24,-0.001261067,-0.000477264,0.000319886,0.46575272,-0.44360125,1.10E-19,0.30102187,-7.58E-08,-9.40E-06,-0.003686481,-0.41283005,-4.48E-19,0.15351376,0.18107426
-2.53E-17,1.1459659,0.000442939,-1.0527242,-0.58210564,-0.5302419,3.69E-23,0.04048182,-0.16586167,-1.1364177,-0.38766396,-2.84E-15,-1.56E-20,0.12471226,1.06E-21,0.000184701,0.29195902,7.78E-24,-0.003987993,-0.000751036,0.000684207,1.1155517,-1.0634482,1.39E-19,0.72599065,-1.30E-07,-1.41E-05,-0.003764949,-0.99242824,-6.21E-19,0.37085652,0.4386865
-3.07E-17,1.4874493,0.000577689,-1.3676127,-0.757547,-0.6892887,3.71E-23,0.051694945,-0.21543229,-1.4751232,-0.50487703,-2.98E-15,-1.82E-20,0.1617022,1.14E-21,0.000228908,0.38090906,8.14E-24,-0.004395545,-0.000901766,0.001075811,1.4476111,-1.3804537,1.64E-19,0.9432862,-1.63E-07,-1.66E-05,-0.005000757,-1.2882048,-8.48E-19,0.48309845,0.57070655
-1.38E-17,0.1734356,-2.94E-05,-0.15502469,-0.08219056,-0.08124487,4.01E-23,0.013388111,-0.031228945,-0.17142735,-0.055309292,-2.74E-15,-1.08E-20,0.025523864,1.01E-21,4.01E-05,0.039116796,7.82E-24,-0.005606157,-0.000290297,-0.000979737,0.1708724,-0.1614416,9.87E-20,0.108039,-3.45E-08,-6.58E-06,0.003306771,-0.15173501,-1.04E-19,0.05138459,0.063960694
-3.96E-18,-0.7778545,-0.000438853,0.72213525,0.40529555,0.35863632,4.23E-23,-0.015147465,0.10277803,0.7723262,0.26908684,-2.45E-15,-6.14E-21,-0.07377892,9.33E-22,-8.86E-05,-0.2070295,7.65E-24,-0.005793893,0.000138292,-0.002311266,-0.75363827,0.7209843,5.89E-20,-0.4958675,5.35E-08,4.47E-07,0.008401059,0.6710015,3.54E-19,-0.25984937,-0.30196965
-1.46E-18,-1.2764517,-0.000769384,1.1841906,0.6654804,0.58843535,4.87E-23,-0.026322883,0.1692189,1.2673777,0.44233385,-2.38E-15,-5.98E-21,-0.12210132,1.07E-21,-0.000185255,-0.3406803,8.76E-24,-0.008747557,0.000445923,-0.003630661,-1.2370794,1.183312,6.22E-20,-0.8143574,1.12E-07,5.38E-06,0.014971759,1.1012686,4.89E-19,-0.4276327,-0.4965531
