x,y
-64.52899,-9.630017
-62.91481,-10.4693575
-58.267593,-11.968665
-57.105476,-12.041247
-44.945507,0.82761633
2.6510005,-23.243214
22.473398,11.511246
-44.412804,2.4164572
-61.75249,-10.84563
-48.21999,-7.8790016
-44.734573,2.1904638
2.9113224,14.092455
-47.46916,-6.9977403
-53.780117,-11.8961935
-64.846085,-9.834614
-45.612526,-1.6946167
3.4179132,-21.157026
25.97256,-7.87908
-38.50658,14.991242
14.484423,19.66191
-34.773148,17.906422
-31.547424,18.940638
2.1320407,10.8707695
23.015488,9.946588
2.5438576,-5.7388396
-44.108475,3.9948952
-44.7571,1.2837607
-52.04961,-11.669158
-61.662495,-10.882372
-54.21687,-12.095447
-43.71277,5.540368
44.849148,-11.225459
28.411839,-12.926725
-27.43634,18.691465
-65.78125,-9.026544
-65.10153,-9.25715
-57.390507,-12.331741
-60.559193,-11.301041
-60.653828,-11.268441
-57.44875,-11.909744
1.7097768,1.2834089
2.6705494,13.087162
-31.150177,19.006304
-54.173065,-12.088984
-60.868404,-11.184114
-43.216293,7.2871337
-47.66527,-7.3821645
-42.594246,9.472178
-63.04669,-10.116319
-60.782356,-11.217025
-45.974964,-3.607318
2.1039083,-4.682253
-38.13935,15.259832
-22.190876,14.205399
-38.229958,15.479763
-27.202381,18.625977
-40.138798,13.22818
3.028257,15.061651
48.30896,-6.124545
34.494396,-16.01543
21.055685,14.369439
-3.0585575,-26.863214
-19.989859,7.7678094
-38.496613,15.385828
-39.058582,14.573445
-19.588556,3.8937857
2.0222147,10.257267
1.7049639,7.409757
-44.53297,2.5700402
-56.367706,-12.181204
-38.558167,15.388524
-45.19086,-0.15041205
-45.815388,-2.5446773
-64.133286,-9.696142
-53.37469,-11.781318
-45.390953,-0.69466555
31.531773,-15.579323
-18.037666,-9.293208
-50.679615,-10.536644
-51.448162,-11.18173
-52.5739,-11.518961
-43.432167,6.727115
-50.597927,-10.458983
-46.45797,-4.2952094
-47.27094,-6.37952
-38.809513,14.915926
2.055175,-2.8501577
-27.896036,19.113615
-35.773735,17.326187
-1.8524901,-26.780289
-34.753113,17.915405
-36.910213,16.514254
10.130749,20.624058
42.093456,-13.625966
4.956938,17.500288
1.8772438,3.3322153
-7.469342,-26.883877
-20.942726,11.540316
1.8251514,-0.5956864
2.2069275,-5.9987264
2.1203792,-3.574243
-23.186007,15.523044
-10.207601,-25.241499
-18.598036,-4.6854067
-41.627117,10.8613
-19.62371,3.4656174
-17.869722,-8.504014
-42.548706,9.579776
-45.068817,0.44708616
-52.29532,-11.798189
-17.68199,-13.156435
3.1463993,-21.707458
-4.828638,-27.00282
-39.350742,14.22902
-45.318653,-0.44418827
-33.684055,18.510698
-29.791065,19.1179
7.167701,19.437244
2.9645262,14.952693
10.106332,20.571997
40.816418,-14.2436495
7.6658044,19.681396
2.172439,-4.097567
3.0142694,14.05866
1.8493639,9.134458
-22.722483,14.854131
2.021363,-5.1589684
4.884085,17.3907
27.218973,-11.042091
4.086687,16.320282
-42.62883,8.951563
-22.77377,15.007361
-19.280596,0.5928642
-15.494674,-18.177402
5.881108,18.249014
-16.223402,-16.672035
-39.4102,14.174837
-31.573587,18.936232
1.6293075,5.99813
-2.8037853,-27.020323
-20.709051,10.7685375
-20.711346,10.469105
1.7812498,3.1398675
1.9155136,2.4016871
5.332824,17.977095
22.771593,10.688915
25.087233,-3.6986153
-8.637684,-26.31818
-33.94522,18.426321
-5.9641685,-26.966719
2.0634627,-23.942102
5.171824,17.728292
40.889545,-14.205323
53.548767,5.915311
54.523125,8.236622
50.86153,-0.47626585
47.6517,-7.3836465
22.400808,11.700677
24.900007,-1.6684414
24.61516,0.9845262
24.14999,4.145881
-1.4381343,-26.236609
50.112026,-2.8981133
52.68443,3.7400854
9.564294,20.7686
1.8700936,0.041539557
-43.23684,7.2246547
-26.643768,18.231176
-22.399405,14.585128
-20.84847,11.288748
-37.70894,15.956232
-45.94465,-3.0936363
-46.831783,-5.350033
-19.530365,3.3045409
2.02107,-5.0646405
1.7509038,-23.78738
-2.4910815,-26.807888
1.8903946,3.5959122
2.080609,-3.0788531
25.807499,-6.9835105
45.634216,-10.319526
49.747208,-2.716741
9.476286,20.677076
25.618307,-6.7123466
-18.62601,-5.5618787
-33.334423,18.52364
-37.799652,15.765653
1.8677101,9.415547
28.421572,-12.928372
38.477406,-15.468656
46.41023,-9.314375
20.749916,14.814922
-21.433,12.749226
24.504768,1.8995802
31.573528,-15.564399
1.6033278,5.0956893
48.020836,-6.689794
43.95106,-12.075749
57.43984,13.465349
55.889893,10.667762
1.7944683,-24.233088
-19.422731,2.1687942
-40.785866,12.283607
2.8435335,-23.071945
-20.785011,11.118473
-21.193834,12.169988
-46.506496,-4.548948
-44.552464,1.830441
-34.745224,17.918833
2.5043874,12.481794
48.078922,-6.579321
1.9579033,9.886484
-43.515907,6.4045033
-46.45709,-3.9334803
-28.816574,19.015987
29.36694,-13.943394
51.12119,-0.14637654
56.994236,12.516766
24.811247,0.07084894
1.6437558,6.48209
-57.991703,-12.074536
-62.62576,-10.4796095
-51.00777,-10.83885
-38.058525,15.641372
-20.283419,9.818506
-22.584908,14.768035
-47.46835,-6.7507873
-43.82327,5.1439786
-42.764946,8.476432
1.7118242,7.609719
25.003063,-2.5759614
9.705225,20.38917
55.500187,9.979278
60.022243,16.26164
57.31382,13.032314
33.859123,-15.969405
-43.86562,5.253018
-18.95008,-2.7949414
-5.1375484,-27.008661
3.3120077,-21.781322
-18.933182,-4.4203672
-21.144424,12.056593
-40.674213,12.480866
19.199545,17.136328
32.64694,-15.792345
53.024826,4.6115894
25.01432,-2.7609777
-45.406464,-0.8716071
-56.312943,-12.190226
-46.150913,-3.1894698
1.771853,0.56008327
50.48175,-1.2449459
51.767048,1.4080976
57.183937,12.79879
-44.440678,2.852408
-63.058468,-10.49316
-66.22324,-9.082464
-53.42729,-12.130542
-28.924158,19.295809
-29.307207,19.192848
-44.07411,4.1135483
-47.813366,-7.0177217
-57.154346,-12.303607
-36.467716,16.874271
-28.539875,18.871456
-21.897516,13.703097
28.23703,-12.555814
54.04824,7.675618
61.94577,18.15229
60.10648,16.980625
25.554335,-7.250436
-41.261936,11.406003
-35.883427,17.257448
3.5082603,-21.510761
-20.797522,11.149323
-31.138737,19.004536
-19.31757,0.023679942
3.1885011,-21.755104
13.561044,20.30645
58.850395,15.235857
58.195053,14.272699
32.767715,-15.801396
-17.173504,-14.406123
-30.508865,19.075373
-21.595467,13.080743
-20.204353,8.813327
14.730603,20.061266
58.848717,15.182871
43.75845,-12.263028
8.259345,20.43327
-63.780544,-10.248056
-61.07876,-11.101326
-44.862103,1.2744058
1.5974667,4.05605
1.6406214,6.2304893
-38.035423,15.830626
-47.268887,-6.3725786
-5.7996883,-26.981356
-41.007076,11.909191
1.34198,-24.347761
-34.56064,18.098545
11.402235,20.606606
55.627625,10.208886
61.5808,17.930948
60.265827,16.504366
21.472357,13.625492
-44.300987,3.3025587
-41.683525,10.830995
-15.172706,-18.247503
-39.850266,13.607462
-22.127716,14.260396
-20.479887,10.499004
-21.131172,12.000858
50.0398,-2.283735
52.70379,3.7813632
23.328985,8.82626
20.91694,14.578474
5.394912,17.99072
27.794334,-12.212684
3.612377,15.607613
-23.310078,15.605761
1.3794922,3.1065557
37.492783,-15.772422
58.609028,14.849979
15.091097,19.949223
-28.44469,18.704596
-44.86136,1.6013197
-20.405006,9.201626
3.1847348,14.298182
1.8644753,9.318733
-32.484653,18.754608
23.709974,7.1119146
2.42796,-6.4496064
52.47961,3.2133133
-37.675705,15.908089
-29.189425,19.168577
-46.935856,-5.592054
41.980713,-13.701123
56.116806,11.054961
54.0287,7.6172442
23.871567,6.428865
-40.331078,12.9700575
-35.45597,17.529606
-20.241781,8.899178
-23.305227,15.627792
-19.71385,5.0793552
1.7653048,-0.04589234
24.039213,1.1853772
1.277999,-0.72343266
53.58839,6.0086627
-41.542686,11.079699
-52.007088,-11.639706
-34.296635,18.293142
27.412403,-11.440666
35.353725,-16.020653
-33.068085,18.686228
-40.986195,11.979147
24.89639,-1.8458495
46.691975,-8.912991
54.645515,7.904447
37.841843,-15.658352
24.13495,4.737243
22.208317,12.122207
19.94562,15.959636
1.4059834,3.0519764
24.245195,3.879074
1.7193675,8.565496
60.192566,16.417166
7.030011,19.272905
24.835583,-0.5324976
-63.250446,-10.455114
-52.100224,-11.279303
-47.044533,-5.8302183
35.206764,-16.026686
50.38456,-1.8620642
42.68208,-13.184399
1.6238636,5.9096355
1.711059,1.1414244
2.51248,-4.864375
24.17601,5.9095736
7.9537873,19.8132
49.33595,-3.9709563
2.1685216,8.66872
23.711056,-2.3803074
-27.91933,19.50508
-54.006638,-12.055934
-65.682076,-9.02863
-55.821434,-12.192325
22.386784,12.020607
24.630318,1.2640675
9.026238,20.077394
-43.36446,6.310707
-19.608616,4.0920963
40.90779,-14.621762
52.972473,4.476646
54.239002,7.9922214
54.871635,8.8124695
49.77201,-3.2473001
47.369007,-7.856391
43.57346,-12.461198
25.292353,-5.06892
57.995514,14.057033
50.22191,-2.4497182
57.845974,13.72266
-42.603786,9.373088
-46.434288,-3.8394268
-65.14045,-9.767565
-44.98662,0.5921815
18.902039,16.836184
51.838413,1.5891476
54.232956,7.984985
27.839378,-12.456224
-28.00036,18.678087
21.838531,12.9257765
-21.320868,12.508509
39.269314,-15.204156
11.956815,20.563322
39.486828,-15.867755
-22.768211,14.0512495
-13.40363,-14.187726
-46.243473,-4.274198
-65.195816,-9.749499
-64.11591,-10.0556755
-22.590612,15.067528
51.79768,1.4825191
19.307816,16.78285
8.228043,19.810286
1.3913347,3.906388
34.334694,-16.007322
53.75707,6.430507
55.04816,9.144374
53.805786,7.0820456
53.194313,5.0204225
50.20589,-2.663335
47.369568,-7.853045
51.97094,1.9214076
50.757965,-0.58303434
59.602325,16.410746
46.492832,-9.197999
25.431671,-5.8253646
-43.70182,5.656454
-42.26529,9.235311
-28.651175,18.888107
44.203896,-11.853217
60.492428,17.201712
59.00217,15.622821
42.108562,-13.613599
-21.648281,13.201482
-56.83498,-12.120973
-28.01243,18.618536
-47.997566,-7.2923384
30.475887,-14.794953
2.9958777,-22.959435
32.14296,-16.21009
4.257681,-21.878296
-45.172886,-1.4446099
-65.70402,-9.546276
-64.842995,-9.409096
-40.441498,12.807178
1.9309927,-1.2368344
25.080877,-3.2498655
-4.385647,-26.979559
2.167123,11.032991
48.99316,-4.7149734
51.0301,-0.7563095
51.969505,1.9165668
48.06953,-6.597435
40.835316,-14.6241
40.0413,-14.880461
38.245068,-15.562331
35.6289,-16.003582
51.149624,-0.07321535
49.862305,-2.4965034
52.30923,2.777636
29.675436,-14.223498
23.464844,8.240092
20.928291,14.577777
31.967793,-15.3833
59.73525,16.658192
62.360413,18.303463
63.199158,18.445192
54.375736,7.2622347
-45.736305,-2.1485038
-53.662346,-11.842461
-66.77853,-8.456572
-42.459476,9.0753565
-28.035416,19.14979
38.69328,-15.897475
0.69464713,-0.49395123
2.2986295,8.4292
-53.808872,-12.222206
-62.912724,-10.204542
-63.368496,-10.42246
-52.59693,-11.532957
-23.890606,16.147213
-32.77172,18.591095
-40.04744,13.348219
22.505894,11.423999
25.07315,-3.5047607
52.901398,4.281205
31.89372,-15.710822
31.452353,-15.276717
25.97804,-7.276439
25.340666,-5.421703
26.857794,-10.246037
26.71445,-9.907286
19.995464,15.900988
34.7768,-16.026985
32.71883,-15.795882
35.704197,-15.999686
45.44584,-10.552359
42.766052,-13.116688
55.294758,9.601277
60.949196,17.495855
63.33827,18.463573
63.084923,18.424006
58.425095,14.61329
-42.13902,9.493589
-66.83665,-8.396476
-61.68802,-10.870685
-57.693737,-11.935459
7.799082,17.973717
11.547215,17.828367
-37.855328,17.18713
-48.82377,-8.582322
-44.294685,-0.60346615
-41.839104,10.553706
-51.089924,-10.917933
-40.536476,12.669452
-43.578773,6.2661877
-22.630718,15.119174
7.626322,19.799534
23.107655,9.663706
57.112614,12.702439
44.421066,-11.656895
49.75629,-2.6986997
24.767088,-0.12263149
24.97515,-2.0954115
24.266489,3.911614
23.212029,9.313122
12.861318,20.486485
2.2194033,11.265556
1.9935702,10.087774
24.321491,3.3914785
26.433004,-9.206294
28.337826,-12.858441
46.01689,-9.841497
51.074272,-0.32620013
60.443863,16.808683
62.26621,18.2776
63.247196,18.44903
47.649353,-7.3879743
-46.266632,-3.3478332
-58.060337,-12.03919
-65.365204,-9.130304
-41.441006,11.697588
-13.186526,-14.217351
-23.74819,13.276866
-41.249603,6.3501506
-56.69214,-12.821308
27.434322,-13.4605255
20.938368,15.256426
24.488503,2.097709
-27.756798,18.618572
25.398157,-5.605576
24.93928,-1.4084121
50.44758,-1.4091268
59.152893,15.35117
53.80277,6.5961757
57.57712,13.160932
27.639946,-11.878271
31.656477,-15.633144
23.346064,8.75466
18.733978,17.56593
18.692406,17.05815
5.5374317,18.132856
1.919983,9.657511
15.13786,19.684137
19.448002,16.566013
24.105944,4.9768524
23.794754,6.1854043
21.955463,12.686741
30.620255,-14.896077
52.85858,4.1729155
62.1712,18.247072
59.865223,16.799212
56.0085,10.877757
-26.634285,18.212673
-46.109684,-3.911262
-36.091213,17.122763
-32.542175,18.895615
-26.593227,20.073
7.2808394,16.175869
-41.203857,6.355788
-12.607091,-14.53044
44.14626,-12.172298
53.25837,5.1949277
20.279438,15.514225
54.631737,7.8332353
40.053932,-14.858663
58.73109,15.006528
55.875328,10.643191
55.80436,10.519169
57.646942,13.712528
42.887203,-13.02035
49.55358,-3.4836433
25.658796,-7.5174437
25.134523,-4.0850453
21.188135,14.15498
9.941047,20.459362
14.202839,20.30315
17.614834,18.20619
24.829277,-0.5183773
24.156717,5.954068
22.210236,12.114447
14.858133,19.852198
1.9897704,10.05025
18.151634,17.59714
53.28424,5.260132
59.051224,15.688758
62.374905,18.307219
43.53434,-12.497712
37.692482,-15.782043
-18.578667,-5.8308864
-20.036,7.9426103
-20.266687,7.599936
-13.28663,-13.943042
-20.918518,7.314099
11.906432,17.772892
23.178846,-0.9669543
2.0648568,-2.919971
-16.235928,-17.191074
53.317,5.3511763
49.567074,-3.4297533
61.666687,17.98976
56.116234,11.053995
