,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
0,-1.8463482,-0.005240305,5.6893135e-05,-6.464225e-28,-1.8256937e-29,1.8081921e-22,0.3152098,-0.32701528,1.4275854e-18,-0.0002791759,0.01727607,-1.307799,-0.06128546,-3.5202788e-31,1.5372004e-09,-2.079235,-0.007001967,-1.7733227e-29,3.582791e-22,-2.792825e-29,9.944897e-19,0.0008230909,-3.469237e-07,-1.3012001e-29,0.54007584,1.791152e-05,-0.012262336,0.063468784,-1.518274,3.0927081e-28,2.0527482e-25,-1.4073597
1,-1.688679,-0.004872165,5.347941e-05,-5.433242e-28,-4.7309085e-30,1.1670219e-24,0.2882863,-0.29914656,1.5005474e-18,-0.00026108057,0.015975494,-1.1945598,-0.05646917,-3.0168263e-31,1.4531742e-09,-1.9029214,-0.006512616,-1.7898019e-29,3.6681005e-22,-2.809096e-29,1.3462629e-18,0.00076842576,-3.276792e-07,-7.5546295e-30,0.49331573,1.6880202e-05,-0.011357292,0.05846029,-1.3874784,3.1936273e-28,1.6358151e-25,-1.2859253
2,-1.3568847,-0.004065736,4.529499e-05,-3.0028409e-28,4.3752256e-29,-1.7527666e-23,0.2351455,-0.24422008,1.4762459e-18,-0.00021890082,0.013238762,-0.96266943,-0.046619184,-2.2143365e-31,1.2897546e-09,-1.5279775,-0.0054399753,-1.8226805e-29,3.6674454e-22,-3.327047e-29,1.3930069e-18,0.00064391264,-2.8108747e-07,-3.8217514e-30,0.40101567,1.4387255e-05,-0.00943053,0.04823781,-1.1165762,2.879346e-28,7.727747e-26,-1.0358799
3,-1.2904677,-0.0038636741,4.3025917e-05,-2.5023186e-28,2.9178763e-29,-1.198107e-22,0.22255546,-0.23115851,1.4286157e-18,-0.00020775717,0.012560679,-0.9138797,-0.04419916,-2.418856e-31,1.2054289e-09,-1.4541675,-0.0051714648,-1.7183379e-29,3.6929681e-22,-3.320547e-29,1.5431695e-18,0.0006118362,-2.6554903e-07,3.2030716e-30,0.37967768,1.365824e-05,-0.008951978,0.045727167,-1.060812,2.8556165e-28,7.533719e-26,-0.98377395
4,-0.6128293,-0.0020657545,2.3696659e-05,-4.6322395e-29,1.5888314e-29,-2.2114293e-22,0.11003199,-0.114916384,9.975389e-19,-0.00011064652,0.0065610916,-0.43751645,-0.02284803,-2.3687462e-31,6.940834e-10,-0.6898532,-0.0027926017,-1.275588e-29,3.2339455e-22,-2.67424e-29,1.378773e-18,0.0003277266,-1.4614335e-07,9.535355e-30,0.18645963,7.584995e-06,-0.004711915,0.023543298,-0.5058009,1.3800701e-28,4.5491476e-26,-0.4709306
5,0.17565268,4.214357e-05,5.394695e-07,-1.350361e-29,-7.58569e-30,-1.7593817e-22,-0.020247366,0.019628447,3.9972575e-19,4.693433e-06,-0.00043172296,0.11562039,0.0019440511,-1.779651e-31,6.5533745e-11,0.20046556,-3.8859434e-06,-6.453512e-30,2.589783e-22,-1.3287048e-29,9.624037e-19,-9.071926e-06,1.1118928e-09,9.2786204e-30,-0.03722696,2.3272719e-07,0.0002375344,-0.0022143973,0.13917032,-3.2968773e-29,4.474859e-26,0.12486339
6,0.5219096,0.00090092694,-7.431001e-06,-4.2014114e-28,1.1249209e-29,-3.0570902e-22,-0.077583924,0.078746855,3.0768542e-19,4.727067e-05,-0.0033828523,0.35870153,0.012617259,-3.2699972e-31,-7.295159e-11,0.59089756,0.0011246956,-5.7797395e-30,2.8792115e-22,-1.06947025e-29,9.058003e-19,-0.00013885822,4.1512433e-08,1.436253e-29,-0.13561398,-2.1558856e-06,0.002305824,-0.013332444,0.42263427,-1.8617385e-28,1.506964e-26,0.38638
7,-0.5817692,-0.001962606,2.1715718e-05,-1.1194899e-28,9.72749e-30,1.1098384e-22,0.10777049,-0.112665474,7.9421033e-19,-0.00010221498,0.0063139913,-0.42052656,-0.022190291,-1.8687943e-31,6.4115774e-10,-0.6517713,-0.0026562281,-1.1394918e-29,2.8972046e-22,-2.3728895e-29,8.2787095e-19,0.00030528306,-1.2939375e-07,-2.5533821e-30,0.18245992,6.87436e-06,-0.0045184186,0.022869159,-0.4836574,1.2178765e-28,8.3388255e-26,-0.45154187
8,-1.5946931,-0.004691298,5.184234e-05,-4.385978e-28,6.6608167e-29,2.157237e-22,0.2768135,-0.2873425,1.5472293e-18,-0.00025190506,0.015374089,-1.1337394,-0.054351375,-2.6382638e-31,1.4993475e-09,-1.7938663,-0.00626844,-2.0156355e-29,3.817122e-22,-3.9089595e-29,1.0455696e-18,0.0007408162,-3.226785e-07,-9.384388e-30,0.4725791,1.6450276e-05,-0.010929487,0.056278482,-1.3139759,2.9368751e-28,8.2854166e-26,-1.2192353
9,-0.8542833,-0.0026963928,3.0415487e-05,-1.7016937e-28,3.700473e-29,-1.0473763e-23,0.15139395,-0.15769255,1.1182472e-18,-0.00014431938,0.008693432,-0.6097053,-0.03054412,-2.191696e-31,9.013836e-10,-0.96068287,-0.0036284998,-1.5006774e-29,3.2897893e-22,-3.0410058e-29,1.148142e-18,0.00042675348,-1.8942595e-07,3.2293707e-30,0.25759298,9.723291e-06,-0.006212781,0.03154488,-0.70521176,1.6911247e-28,5.466932e-26,-0.6557988
