x,y
64.34673,-11.299025
64.457466,-11.601138
63.45566,-8.584333
62.510063,-6.227988
28.916328,-11.27393
2.849504,17.24578
-10.748232,17.539701
33.345215,10.267728
64.09713,-10.729556
58.660603,3.7280781
53.84394,11.27413
11.0174055,-17.644096
31.877323,2.5798664
52.44292,12.80814
58.765877,3.509639
24.394371,-17.939703
-7.8145533,19.627932
-16.665302,-4.33845
27.070759,-15.503151
7.1329975,-8.070171
45.5906,16.883297
39.991978,16.942066
6.8661437,-1.6016555
-13.528582,14.5451565
-0.7369773,20.171825
30.673473,-5.731935
30.211155,-7.905745
49.23716,15.6036005
60.790066,-0.8714403
57.067833,7.3255687
31.063837,-3.0686986
4.1818,15.149657
6.9736204,-6.277821
53.790775,11.336297
64.65283,-12.113775
63.947212,-9.8184805
61.006695,-1.9552926
64.164154,-10.750018
63.280827,-8.187953
60.19944,0.18173824
1.5570192,18.54881
-2.9343913,20.39133
31.731243,2.646094
55.85322,8.699324
63.661667,-9.814526
37.195347,15.42328
45.460228,16.897333
33.8057,10.233651
59.08203,2.8164306
56.846413,6.617077
37.934517,15.988087
6.588325,-0.20236029
25.640022,-17.562983
27.851297,-13.765951
39.411816,16.990606
40.09867,17.013746
53.76442,11.366761
0.7643666,19.722675
-41.720676,3.6448178
-17.454948,-11.042177
-10.124716,18.210264
7.620895,-12.219516
9.899229,-16.247978
31.326765,0.6486909
27.671667,-14.044868
8.855922,-14.525983
6.592627,7.761634
7.658909,-11.550564
43.56168,17.292564
60.476837,-1.0368472
30.6072,-5.7241
48.632614,15.567135
54.717075,10.183209
63.776043,-9.433329
51.432964,13.735384
30.159718,-7.7581716
-10.91732,17.3707
12.165689,-19.04133
58.218685,4.428185
46.63025,16.590797
56.645897,6.9816413
33.343655,9.593382
44.49454,17.17094
36.743774,14.972548
41.55338,17.263739
26.26377,-15.75234
6.5664215,6.1063247
18.231014,-20.772339
28.130333,-13.196022
13.422691,-19.613955
42.002075,17.307438
36.896393,15.143241
-16.054943,0.09604878
-42.771873,5.294622
-17.677818,-12.025925
6.230332,7.73642
6.8232036,-2.6600816
26.427065,-16.135166
6.6451373,4.6826267
6.639255,4.8167276
6.668455,4.2814536
20.587622,-20.01108
7.618577,-11.53357
8.758793,-14.3142
31.300465,-1.2551482
13.691203,-19.624775
14.092571,-19.788988
34.026665,10.69384
